VOC              TOG
000000 2201080111  1.13
000000 2201080112  1.13
000000 2201080113  1.13
000000 2201080114  1.13
000000 2201080130  1.13
000000 2201080131  1.13
000000 2201080132  1.13
000000 2201080133  1.13
000000 2201080134  1.13
000000 2201080150  1.13
000000 2201080151  1.13
000000 2201080152  1.13
000000 2201080153  1.13
000000 2201080154  1.13
000000 2201080170  1.13
000000 2201080171  1.13
000000 2201080172  1.13
000000 2201080173  1.13
000000 2201080174  1.13
000000 2201080190  1.13
000000 2201080191  1.13
000000 2201080192  1.13
000000 2201080193  1.13
000000 2201080194  1.13
000000 2201080210  1.13
000000 2201080211  1.13
000000 2201080212  1.13
000000 2201080213  1.13
000000 2201080214  1.13
000000 2201080230  1.13
000000 2201080231  1.13
000000 2201080232  1.13
000000 2201080233  1.13
000000 2201080234  1.13
000000 2201080250  1.13
000000 2201080251  1.13
000000 2201080252  1.13
000000 2201080253  1.13
000000 2201080254  1.13
000000 2201080270  1.13
000000 2201080271  1.13
000000 2201080272  1.13
000000 2201080273  1.13
000000 2201080274  1.13
000000 2201080290  1.13
000000 2201080291  1.13
000000 2201080292  1.13
000000 2201080293  1.13
000000 2201080294  1.13
000000 2201080310  1.13
000000 2201080311  1.13
000000 2201080312  1.13
000000 2201080313  1.13
000000 2201080314  1.13
000000 2201080330  1.13
000000 2201080331  1.13
000000 2201080332  1.13
000000 2201080333  1.13
000000 2201080334  1.13
000000 2282005000  1.13
000000 2282005005  1.13
000000 2282005010  1.13
000000 2282005015  1.13
000000 2282005020  1.13
000000 2282005025  1.13
000000 2282010000  1.13
000000 2282010005  1.13
000000 2282010010  1.13
000000 2282010015  1.13
000000 2282010020  1.13
000000 2282010025  1.13
000000 2201060000  1.13
000000 2201060110  1.13
000000 2201060111  1.13
000000 2201060112  1.13
000000 2201060113  1.13
000000 2201060114  1.13
000000 2201060130  1.13
000000 2201060131  1.13
000000 2201060132  1.13
000000 2201060133  1.13
000000 2201060134  1.13
000000 2201060150  1.13
000000 2201060151  1.13
000000 2201060152  1.13
000000 2201060153  1.13
000000 2201060154  1.13
000000 2201060171  1.13
000000 2201060172  1.13
000000 2201060173  1.13
000000 2201060174  1.13
000000 2201060190  1.13
000000 2201060191  1.13
000000 2201060192  1.13
000000 2201060193  1.13
000000 2201060194  1.13
000000 2201060210  1.13
000000 2201060211  1.13
000000 2201060212  1.13
000000 2201060213  1.13
000000 2201060214  1.13
000000 2201060230  1.13
000000 2201060231  1.13
000000 2201060232  1.13
000000 2201060233  1.13
000000 2201060234  1.13
000000 2201060250  1.13
000000 2201060251  1.13
000000 2201060252  1.13
000000 2201060253  1.13
000000 2201060254  1.13
000000 2201060270  1.13
000000 2201060271  1.13
000000 2201060272  1.13
000000 2201060273  1.13
000000 2201060274  1.13
000000 2201060290  1.13
000000 2201060291  1.13
000000 2201060292  1.13
000000 2201060293  1.13
000000 2201060294  1.13
000000 2201060310  1.13
000000 2201060311  1.13
000000 2201060312  1.13
000000 2201060313  1.13
000000 2201060314  1.13
000000 2201060330  1.13
000000 2201060331  1.13
000000 2201060332  1.13
000000 2201060333  1.13
000000 2201060334  1.13
000000 2260000000  1.13
000000 2260001000  1.13
000000 2260001010  1.13
000000 2260001020  1.13
000000 2260001030  1.13
000000 2260001040  1.13
000000 2260001050  1.13
000000 2260001060  1.13
000000 2260003040  1.13
000000 2260003050  1.13
000000 2260004000  1.13
000000 2260004010  1.13
000000 2260004015  1.13
000000 2260004020  1.13
000000 2260004025  1.13
000000 2260004030  1.13
000000 2260004035  1.13
000000 2260004040  1.13
000000 2260004045  1.13
000000 2260004050  1.13
000000 2260004055  1.13
000000 2260004060  1.13
000000 2260004065  1.13
000000 2260004070  1.13
000000 2260004075  1.13
000000 2260006000  1.13
000000 2260006005  1.13
000000 2260006010  1.13
000000 2260006015  1.13
000000 2260006020  1.13
000000 2260006025  1.13
000000 2260006030  1.13
000000 2265001000  1.13
000000 2265001010  1.13
000000 2265001020  1.13
000000 2265001030  1.13
000000 2265001040  1.13
000000 2265001050  1.13
000000 2265001060  1.13
000000 2265004000  1.13
000000 2265004010  1.13
000000 2265004015  1.13
000000 2265004020  1.13
000000 2265004025  1.13
000000 2265004030  1.13
000000 2265004035  1.13
000000 2265004040  1.13
000000 2265004045  1.13
000000 2265004050  1.13
000000 2265004055  1.13
000000 2265004060  1.13
000000 2265004065  1.13
000000 2265004070  1.13
000000 2265004075  1.13
000000 2265006000  1.13
000000 2265006005  1.13
000000 2265006010  1.13
000000 2265006015  1.13
000000 2265006020  1.13
000000 2265006025  1.13
000000 2265006030  1.13
000000 2103001000  1.02
000000 2103002000  1.02
000000 2280001000  1.02
000000 2280001010  1.02
000000 2280001020  1.02
000000 2280001030  1.02
000000 2280001040  1.02
000000 2102001000  1.22
000000 2102002000  1.22
000000 2104001000  1.22
000000 2104002000  1.22
000000 2199001000  1.22
000000 2199002000  1.22
000000 2199003000  1.22
000000 2390001000  1.22
000000 2390002000  1.22
000000 2101001000  1.22
000000 2101002000  1.22
000000 2101003000  1.22
000000 2201070000  1.03
000000 2201070110  1.03
000000 2201070111  1.03
000000 2201070112  1.03
000000 2201070113  1.03
000000 2201070114  1.03
000000 2201070130  1.03
000000 2201070131  1.03
000000 2201070132  1.03
000000 2201070133  1.03
000000 2201070134  1.03
000000 2201070150  1.03
000000 2201070151  1.03
000000 2201070152  1.03
000000 2201070153  1.03
