# Speciation profile for CMAQ
#   RADM speciation for TOG only (not VOC)
#   PM2.5 speciation for CMAQ species
#   Additional special SO2 profiles that generate SULF (not mass conserving)
#
#   Revision history
#     Created 10/15/01
#     BEIS 3.09 profile created 4/1/01 and added 8/3/03
#     AXQ added for BC/OC  2008.01.28
#     AXQ modified for ind liv for EC/OC 2008/03
#     AXQ added for VOC profile (for china_Cao) 
1033  TOG              ALD              0.00671601855             1    0.3765
1033  TOG              HC3              0.00290687075             1     0.247
1033  TOG              OLT              0.00894724335             1    0.3765
1034  TOG              OLI              0.01848770568             1         1
1037  TOG              CH4              0.01144014963             1    0.1835
1037  TOG              ETH              0.00109411373             1    0.0329
1037  TOG              HC3              0.00008748989             1     0.111
1037  TOG              HC5                    6.88E-6             1    0.0004
1037  TOG              OL2              0.02160427807             1     0.606
1038  TOG              CH4              0.00232543641             1    0.0373
1038  TOG              ETH              0.00014632524             1    0.0044
1038  TOG              HC3              0.00028966249             1    0.3675
1038  TOG              HC5                 0.00020812             1    0.0121
1038  TOG              OL2              0.00370053476             1    0.1038
1039  TOG              CH4              0.00806733167             1    0.1294
1039  TOG              ETH               0.0005686731             1    0.0171
1039  TOG              HC3              0.00014337308             1    0.1819
1039  TOG              HC5                 0.00071036             1    0.0413
1039  TOG              OL2              0.01087344029             1     0.305
1043  TOG              ALD              0.00069065494             1    0.0385
1043  TOG              HC3              0.00742840816             1    0.6312
1043  TOG              KET              0.00004748106             1    0.0109
1043  TOG              OLT              0.00358709568             1    0.1568
1043  TOG              ORA2              0.0022889259             1    0.1626
1044  TOG              KET              0.00832062127             1       0.6
1044  TOG              ORA2             0.00699942965             1       0.4
1045  TOG              KET              0.00148106061             1      0.34
1045  TOG              ORA2             0.00965861782             1      0.58
1045  TOG              TOL               0.0000750224             1      0.02
1046  TOG              CH4              0.00304239401             1    0.0488
1046  TOG              HC3              0.00207818537             1    0.0788
1046  TOG              HC8              0.00516684835             1    0.3788
1046  TOG              OLT               0.0020165801             1    0.2019
1047  TOG              HC5              0.01020756881             1    0.7038
1047  TOG              OLT              0.00263472154             1    0.2962
1048  TOG              ETH              0.00039574327             1    0.0119
1048  TOG              HC3              0.00642504729             1    0.5423
1048  TOG              OLT              0.00064995247             1    0.0547
1048  TOG              TOL              0.00150300702             1    0.3911
1049  TOG              CH4              0.01001870324             1    0.1607
1049  TOG              ETH               0.0096208846             1    0.2893
1049  TOG              HC3              0.00655864282             1    0.4893
1049  TOG              HC5              0.00080561053             1    0.0608
1050  TOG              ALD              0.00042970222             1    0.0456
1050  TOG              HC8              0.00663421502             1    0.6012
1050  TOG              KET              0.00104544528             1    0.1026
1050  TOG              TOL              0.00094040584             1    0.2507
1051  TOG              OL2              0.02672727273             1    0.7497
1051  TOG              ORA2             0.00069608659             1    0.0418
1052  TOG              OL2              0.03565062389             1         1
1054  TOG              ALD              0.01225879682             1      0.54
1055  TOG              KET              0.00875733427             1         1
1056  TOG              OL2              0.03565062389             1         1
1057  TOG              CH4              0.03260598504             1     0.523
1057  TOG              ETH              0.00009311606             1    0.0028
1057  TOG              OL2              0.01690552585             1    0.4742
1058  TOG              CH4              0.01519950125             1    0.2438
1058  TOG              OL2              0.02695900178             1    0.7562
1059  TOG              CH4               0.0011159601             1    0.0179
1059  TOG              HC3              0.02401396346             1    0.9343
1059  TOG              KET              0.00010410985             1    0.0239
1059  TOG              OLT               0.0000719137             1    0.0072
1060  TOG              HC3              0.01093660515             1    0.7237
1060  TOG              OLT              0.00275968837             1    0.2763
1061  TOG              TOL              0.00374024197             1    0.9971
1062  TOG              TOL              0.00375112022             1         1
1064  TOG              CH4               0.0077680798             1    0.1246
