#GRID	AN_GRID	-2466000.000000	-2034000.000000	36000.000000	36000.000000	137	113	1	LAMBERT	meters	30.000000	60.000000	103.800000	103.800000	36.300000
  100	901062	   45	  111	0.33439139	!	584665739.600955	1748447342.687769	0.853570
  100	901062	   46	  111	0.14642990	!	256024961.063562	1748447342.687769	1.000000
  100	901063	   46	  110	0.56723661	!	991783335.742112	1748447342.687745	0.567237
  100	901063	   47	  110	0.04961850	!	86755340.683319	1748447342.687745	0.616855
  100	901063	   46	  111	0.31148542	!	544615847.322212	1748447342.687745	0.928341
  100	901063	   47	  111	0.07165948	!	125292818.940101	1748447342.687745	1.000000
  100	901064	   47	  109	0.03814511	!	66694714.354372	1748447342.687786	0.038145
  100	901064	   46	  110	0.00026592	!	464953.978402	1748447342.687786	0.038411
  100	901064	   47	  110	0.66602790	!	1164514713.843351	1748447342.687786	0.704439
  100	901064	   48	  110	0.00609809	!	10662194.553239	1748447342.687786	0.710537
  100	901064	   47	  111	0.26788754	!	468387252.109602	1748447342.687786	0.978425
  100	901064	   48	  111	0.02157544	!	37723513.848815	1748447342.687786	1.000000
  100	901065	   47	  109	0.01108074	!	19374097.655316	1748447342.687733	0.011081
  100	901065	   48	  109	0.11764027	!	205687812.853115	1748447342.687733	0.128721
  100	901065	   47	  110	0.02527281	!	44188174.356399	1748447342.687733	0.153994
  100	901065	   48	  110	0.64626097	!	1129953273.739971	1748447342.687733	0.800255
  100	901065	   48	  111	0.19974521	!	349243984.082929	1748447342.687733	1.000000
  100	901066	   48	  109	0.04301452	!	75208617.973545	1748447342.687780	0.043015
  100	901066	   49	  109	0.17270620	!	301967704.071469	1748447342.687780	0.215721
  100	901066	   48	  110	0.08887001	!	155384531.706791	1748447342.687780	0.304591
  100	901066	   49	  110	0.58144662	!	1016628795.233117	1748447342.687780	0.886037
  100	901066	   48	  111	0.00523502	!	9153156.093519	1748447342.687780	0.891272
  100	901066	   49	  111	0.10872763	!	190104537.609336	1748447342.687780	1.000000
  100	901067	   49	  109	0.09438673	!	165030233.802808	1748447342.687733	0.094387
  100	901067	   50	  109	0.20437066	!	357331340.825331	1748447342.687733	0.298757
  100	901067	   49	  110	0.15978245	!	279371204.766884	1748447342.687733	0.458540
  100	901067	   50	  110	0.50898553	!	889934403.228536	1748447342.687733	0.967525
  100	901067	   49	  111	0.01023552	!	17896275.231005	1748447342.687733	0.977761
  100	901067	   50	  111	0.02223909	!	38883884.833168	1748447342.687733	1.000000
  100	901068	   50	  109	0.16387539	!	286527486.911166	1748447342.687732	0.163875
  100	901068	   51	  109	0.21398230	!	374136786.447093	1748447342.687732	0.377858
  100	901068	   50	  110	0.22674306	!	396448297.974743	1748447342.687732	0.604601
  100	901068	   51	  110	0.39539925	!	691334771.354728	1748447342.687732	1.000000
  100	901069	   51	  109	0.25014660	!	437368155.524012	1748447342.687773	0.250147
  100	901069	   52	  109	0.20290033	!	354760546.755783	1748447342.687773	0.453047
  100	901069	   51	  110	0.26567050	!	464510879.635890	1748447342.687773	0.718717
  100	901069	   52	  110	0.28128257	!	491807760.772082	1748447342.687773	1.000000
  100	901070	   52	  109	0.35185513	!	615200167.872369	1748447342.687735	0.351855
  100	901070	   53	  109	0.17249401	!	301596686.912831	1748447342.687735	0.524349
  100	901070	   52	  110	0.28820151	!	503905163.404658	1748447342.687735	0.812551
  100	901070	   53	  110	0.18744935	!	327745324.497874	1748447342.687735	1.000000
  100	901071	   53	  109	0.46764491	!	817652501.030372	1748447342.687786	0.467645
  100	901071	   54	  109	0.12414212	!	217055961.323774	1748447342.687786	0.591787
  100	901071	   53	  110	0.29574778	!	517099425.185738	1748447342.687786	0.887535
  100	901071	   54	  110	0.11246519	!	196639455.147908	1748447342.687786	1.000000
  100	901072	   54	  108	0.00202179	!	3534991.936215	1748447342.687740	0.002022
  100	901072	   55	  108	0.00051353	!	897878.877724	1748447342.687740	0.002535
  100	901072	   54	  109	0.59412774	!	1038801073.846809	1748447342.687740	0.596663
